Country Name,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00
Canada,71.13,71.35,71.37,71.38,71.78,71.87,72.00,72.21,72.35,72.50,72.70,73.03,72.93,73.16,73.24,73.52,73.86,74.22,74.53,74.87,75.10,75.50,75.73,76.06,76.33,76.33,76.46,76.78,76.86,77.12,77.44,77.59,77.84,77.70,77.87,77.98,78.22,78.41,78.62,78.84,79.17,79.40,79.53,79.72,79.99,80.11,80.54,80.54,80.72,81.07,81.32,81.48,81.66,81.74,81.78,81.82,81.92,81.83,81.84,82.22,81.66,81.59,81.30
Mexico,55.02,55.83,56.60,57.31,57.95,58.50,58.98,59.42,59.84,60.25,60.69,61.16,61.61,62.06,62.46,62.81,63.12,63.43,63.78,64.19,64.70,65.31,65.98,66.64,67.29,67.87,68.39,68.84,69.25,69.62,69.97,70.30,70.62,70.94,71.28,71.65,72.04,72.45,72.85,73.23,73.57,73.87,74.11,74.27,74.37,74.38,74.33,74.24,74.15,74.12,74.19,74.37,74.57,74.74,74.80,74.68,74.41,74.14,74.02,74.20,70.13,70.21,74.83
United States,69.77,70.27,70.12,69.92,70.17,70.21,70.21,70.56,69.95,70.51,70.81,71.11,71.16,71.36,71.96,72.60,72.86,73.26,73.36,73.80,73.61,74.01,74.36,74.46,74.56,74.56,74.61,74.77,74.77,75.02,75.21,75.37,75.62,75.42,75.62,75.62,76.03,76.43,76.58,76.58,76.64,76.84,76.94,77.04,77.49,77.49,77.69,77.99,78.04,78.39,78.54,78.64,78.74,78.74,78.84,78.69,78.54,78.54,78.64,78.79,76.98,76.33,77.43
